population,threshold,assess_all,assess_none,varc3_rule,model,model_alert_rate,reference,reference_alert_rate,calendar,calendar_alert_rate
all_landmarks,0.01,-0.006336564826912264,0.0,-6.568829937843235e-06,0.0016897426775708054,0.052797669620099526,-0.0001018508910919727,0.03544119431969899,0.0,0.0
all_landmarks,0.02,-0.016605037432929917,0.0,-1.3271717629520006e-05,0.0008991014451233635,0.015414492050006069,0.0,0.0,0.0,0.0
all_landmarks,0.03,-0.027085231123607743,0.0,-2.0112809191128258e-05,0.0003215022061860347,0.008496176720475786,0.0,0.0,0.0,0.0
all_landmarks,0.04,-0.03778376218284134,0.0,-2.709642349360335e-05,0.0002013129551222909,0.006190071610632358,0.0,0.0,0.0,0.0
all_landmarks,0.05,-0.04870752547490093,0.0,-3.422706125507792e-05,-1.3421951917035354e-05,0.004126714407088239,0.0,0.0,0.0,0.0
all_landmarks,0.06,-0.059863709262536216,0.0,-4.1509414713605123e-05,-3.143891573394982e-06,0.003155722781891006,0.0,0.0,0.0,0.0
all_landmarks,0.07,-0.07125981098108843,0.0,-4.8948377923928635e-05,1.1850519006625168e-05,0.002427479062993082,0.0,0.0,0.0,0.0
all_landmarks,0.08,-0.0829036540413483,0.0,-5.654905772578089e-05,1.5587552947991504e-05,0.0020633572035441195,0.0,0.0,0.0,0.0
all_landmarks,0.09,-0.09480340574029518,0.0,-6.431678543536619e-05,6.542827891914323e-08,0.0020633572035441195,0.0,0.0,0.0,0.0
all_landmarks,0.1,-0.10696759636588533,0.0,-7.225712931627559e-05,-0.00011548740130623846,0.001456487437795849,0.0,0.0,0.0,0.0
all_landmarks,0.11,-0.11940513958980332,0.0,-8.0375907891138e-05,-6.43007263129104e-05,0.0008496176720475786,0.0,0.0,0.0,0.0
all_landmarks,0.12,-0.13212535425062857,0.0,-8.867920416088368e-05,-5.320752249653021e-05,0.0006068697657482705,0.0,0.0,0.0,0.0
all_landmarks,0.13,-0.1451379876392889,0.0,-9.71733808046465e-05,-5.8304028482787895e-05,0.00048549581259861634,0.0,0.0,0.0,0.0
all_landmarks,0.14,-0.1584532404090809,0.0,-0.0001058650964401247,-6.351905786407482e-05,0.00048549581259861634,0.0,0.0,0.0,0.0
all_landmarks,0.15,-0.17208179324404438,0.0,-0.00011476132303173181,-6.885679381903909e-05,0.00048549581259861634,0.0,0.0,0.0,0.0
primary_population,0.01,-0.006833348866405685,0.0,0.0,0.0012341675232323327,0.04644908935337978,-9.4367672160437e-05,0.03459234812370126,0.0,0.0
primary_population,0.02,-0.017106899325601794,0.0,0.0,0.0005976265926055587,0.009778755653343112,0.0,0.0,0.0,0.0
primary_population,0.03,-0.02759227556746174,0.0,0.0,0.00015262191488271025,0.004033736707004034,0.0,0.0,0.0,0.0
primary_population,0.04,-0.03829609714769379,0.0,0.0,0.00016528637385126242,0.002566923359002567,0.0,0.0,0.0,0.0
primary_population,0.05,-0.04922526234014121,0.0,0.0,-5.385819886801372e-05,0.0011001100110011,0.0,0.0,0.0,0.0
primary_population,0.06,-0.0603869629622152,0.0,0.0,-2.457902983720843e-05,0.0003667033370003667,0.0,0.0,0.0,0.0
primary_population,0.07,-0.07178870015680694,0.0,0.0,-9.843938545752311e-06,0.0001222344456667889,0.0,0.0,0.0,0.0
primary_population,0.08,-0.08343830120345497,0.0,0.0,-1.1372500431738692e-05,0.0001222344456667889,0.0,0.0,0.0,0.0
primary_population,0.09,-0.09534393743794144,0.0,0.0,-1.2934657084450051e-05,0.0001222344456667889,0.0,0.0,0.0,0.0
primary_population,0.1,-0.10751414336652758,0.0,0.0,-1.4531528329443886e-05,0.0001222344456667889,0.0,0.0,0.0,0.0
primary_population,0.11,-0.11995783706878987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_population,0.12,-0.13268434199155807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_population,0.13,-0.14570341024588426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_population,0.14,-0.15902524752938063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_population,0.15,-0.17266053980778298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
